question,answer,context_id
What sport is the narrator entertaining themselves with ?,They 're watching baseball .,26747
What made the writer unable to focus on her driving?,Thinking of the forgotten vacation.,37676
What is the common belief since human existed?,It's hard to continue the family line with only one child.,25007
"If one lacks enough sleep, one should avoid doing important or dangerous things   _  .",at dawn,22613
The theme of the song that Bob comes up with is probably about  _  .,protecting trees,2598
What would be the best title for the passage?,The High School Basketball League of Taiwan,53181
Where are they heading to ?,They are going to the caves .,47153
Scientists have searched for a long time in order to   _  .,tell whether a volcano explosion will be small or large,50615
Which of the following is NOT mentioned in the passage?,The amount of new money needed.,10652
"What was the annoying problem for the authorities in Hampden, Maine?",They failed to destroy the dam repeatedly built by the beavers.,46657
What can be the best title of the passage?,Enjoy Slow-Reading,33691
Why would the woman have so many names ?,She has had many divorces .,38010
The best title for the passage is  _  .,Antarctica melting away,55662
What do the two stories tell us?,"In fair weather, prepare for a rainy day.",33409
We can learn from the passage that   _  .,Chicago is promoting the use of electric vehicles,3710
Who warned Jon about the carriage?,Daven,41781
"The mailbox's name in the e-mail address ""editor@ew.com.cn."" is    _    .",editor,46161
who is the narrator with ?,the narrator is with someone who works for the board overseeing him,12384
At the end of the story what does Dingo think of animal spirit guides,probably doesn't believe in them,49352
Why did the narrator not feel moved at Church ?,They were distracted .,15624
Who said she was not crazy about Lilman's fiance?,Macy,19199
"According to the passage, the hero wanted to   _  .",give Marguerite sufferings because his pride and his love were hurt,54176
The author believes that   _  .,feeling pain is part of our life,41763
We can learn from the story that Kate Anderson  _  .,took Vansant's car away by chance,45870
"According to Joe, the appropriate fat intake may help   _  ?",the absorption of the nutrients,11947
What is probably true about Cohen?,He makes a lot of money representing Trump,45994
Who does George live with?,He lives alone,56075
What might be happening ?,The person might be trying to get over a relationship,41428
What was the narrator glad to be done with ?,They finished painting .,31750
What is the representative food for the Dragon Boat Festival in China?,Zongzi,13530
What color was Dennis's suit?,gray,1531
What can we learn about the village site?,Each of the wooden houses is about 25 square meters.,15115
Which of the following is TRUE about Discovery Programs?,There are classes at varying times.,881
"What does the word ""riddle"" mean in this story?",a difficult question to find the answer to.,16202
How long was Sondra most likely singing for?,30 minutes,54401
What happened to Ennis before his homecoming ?,Ennis hurt one of his feet .,39818
Why did the Eskimos separate reindeer and seal meat?,They thought keeping them together caused bad hunting.,11180
What would they NOT find at this store ?,Milk,21639
Why would I have hatred in my heart towards her ?,She cheated on me while we were together .,23614
"When you don't know what to do, you can  _",turn to your teachers,44187
Where might the narrator be referred to after saying this ?,The narrator will likely be referred to a gynecologist .,10316
